,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
0,correlation,0.5,100,0.6045977011494251,0.13333333333333333
1,correlation,0.5,200,0.6528735632183907,0.13333333333333333
2,correlation,0.5,300,0.6597701149425286,0.2
3,correlation,0.5,400,0.6678160919540229,0.2
4,correlation,0.5,500,0.6724137931034482,0.13333333333333333
5,correlation,0.5,600,0.6643678160919539,0.13333333333333333
6,correlation,0.5,700,0.6287356321839078,0.1
7,correlation,0.5,800,0.6436781609195402,0.1
8,correlation,0.5,900,0.6563218390804597,0.06666666666666667
9,correlation,0.5,1000,0.6551724137931033,0.16666666666666666
10,correlation,1.0,100,0.793103448275862,0.23333333333333334
11,correlation,1.0,200,0.8436781609195402,0.26666666666666666
12,correlation,1.0,300,0.8448275862068966,0.43333333333333335
13,correlation,1.0,400,0.8436781609195403,0.4
14,correlation,1.0,500,0.8390804597701148,0.4666666666666667
15,correlation,1.0,600,0.8287356321839081,0.4
16,correlation,1.0,700,0.7885057471264367,0.36666666666666664
17,correlation,1.0,800,0.8137931034482758,0.4
18,correlation,1.0,900,0.8310344827586207,0.43333333333333335
19,correlation,1.0,1000,0.8057471264367816,0.4
20,correlation,2.5,100,0.8827586206896552,0.6
21,correlation,2.5,200,0.9241379310344828,0.6666666666666666
22,correlation,2.5,300,0.9367816091954022,0.7666666666666667
23,correlation,2.5,400,0.932183908045977,0.7333333333333333
24,correlation,2.5,500,0.9275862068965516,0.8
25,correlation,2.5,600,0.9275862068965517,0.7
26,correlation,2.5,700,0.8931034482758621,0.5666666666666667
27,correlation,2.5,800,0.9080459770114941,0.7
28,correlation,2.5,900,0.9172413793103449,0.7333333333333333
29,correlation,2.5,1000,0.9091954022988505,0.7
30,correlation,3.5,100,0.9241379310344828,0.7
31,correlation,3.5,200,0.9597701149425287,0.7333333333333333
32,correlation,3.5,300,0.974712643678161,0.8
33,correlation,3.5,400,0.9689655172413794,0.7666666666666667
34,correlation,3.5,500,0.9620689655172413,0.7666666666666667
35,correlation,3.5,600,0.9643678160919541,0.8
36,correlation,3.5,700,0.925287356321839,0.7
37,correlation,3.5,800,0.9390804597701148,0.7333333333333333
38,correlation,3.5,900,0.9517241379310344,0.7666666666666667
39,correlation,3.5,1000,0.9413793103448275,0.7666666666666667
40,correlation,4.5,100,0.9229885057471264,0.7
41,correlation,4.5,200,0.9666666666666667,0.8333333333333334
42,correlation,4.5,300,0.9701149425287355,0.8333333333333334
43,correlation,4.5,400,0.9712643678160919,0.8333333333333334
44,correlation,4.5,500,0.964367816091954,0.8333333333333334
45,correlation,4.5,600,0.9712643678160919,0.8333333333333334
46,correlation,4.5,700,0.9494252873563218,0.8
47,correlation,4.5,800,0.9505747126436782,0.8
48,correlation,4.5,900,0.9632183908045976,0.8
49,correlation,4.5,1000,0.9597701149425287,0.8
50,correlation,5.0,100,0.9379310344827586,0.7
51,correlation,5.0,200,0.967816091954023,0.8666666666666667
52,correlation,5.0,300,0.9781609195402299,0.8666666666666667
53,correlation,5.0,400,0.9873563218390804,0.9
54,correlation,5.0,500,0.993103448275862,0.9666666666666667
55,correlation,5.0,600,0.993103448275862,0.9333333333333333
56,correlation,5.0,700,0.9942528735632183,0.9666666666666667
57,correlation,5.0,800,0.9942528735632183,0.9666666666666667
58,correlation,5.0,900,0.9954022988505746,0.9333333333333333
59,correlation,5.0,1000,0.9965517241379309,0.9666666666666667
60,correlation,10.0,100,0.9574712643678162,0.7333333333333333
