,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
0,correlation,0.5,100,0.6977011494252873,0.1
1,correlation,0.5,200,0.7356321839080462,0.2
2,correlation,0.5,300,0.7609195402298851,0.2
3,correlation,0.5,400,0.7873563218390804,0.23333333333333334
4,correlation,0.5,500,0.7896551724137931,0.2
5,correlation,0.5,600,0.771264367816092,0.26666666666666666
6,correlation,0.5,700,0.7126436781609194,0.13333333333333333
7,correlation,0.5,800,0.7436781609195401,0.16666666666666666
8,correlation,0.5,900,0.757471264367816,0.13333333333333333
9,correlation,0.5,1000,0.7724137931034483,0.16666666666666666
10,correlation,1.0,100,0.8172413793103447,0.36666666666666664
11,correlation,1.0,200,0.8517241379310344,0.43333333333333335
12,correlation,1.0,300,0.8724137931034482,0.36666666666666664
13,correlation,1.0,400,0.8873563218390805,0.4666666666666667
14,correlation,1.0,500,0.9057471264367815,0.4666666666666667
15,correlation,1.0,600,0.8873563218390805,0.43333333333333335
16,correlation,1.0,700,0.8390804597701149,0.36666666666666664
17,correlation,1.0,800,0.8620689655172413,0.36666666666666664
18,correlation,1.0,900,0.8931034482758621,0.4
19,correlation,1.0,1000,0.8896551724137931,0.43333333333333335
20,correlation,2.5,100,0.9011494252873563,0.6
21,correlation,2.5,200,0.9517241379310344,0.7333333333333333
22,correlation,2.5,300,0.9563218390804598,0.8333333333333334
23,correlation,2.5,400,0.9701149425287358,0.8666666666666667
24,correlation,2.5,500,0.9770114942528736,0.9
25,correlation,2.5,600,0.9735632183908046,0.9
26,correlation,2.5,700,0.9620689655172413,0.7666666666666667
27,correlation,2.5,800,0.9643678160919541,0.8333333333333334
28,correlation,2.5,900,0.9689655172413794,0.8666666666666667
29,correlation,2.5,1000,0.9689655172413794,0.8666666666666667
30,correlation,3.5,100,0.945977011494253,0.7666666666666667
31,correlation,3.5,200,0.9839080459770115,0.9
32,correlation,3.5,300,0.9931034482758622,0.9
33,correlation,3.5,400,0.993103448275862,0.9333333333333333
34,correlation,3.5,500,0.9965517241379309,0.9666666666666667
