Distance,Roi,Data_length (min),Mean_ICC
correlation,100ROI,0.5,0.167346528
partial_correlation,100ROI,0.5,0.164330548
tangent,100ROI,0.5,0.174403896
partial_correlation_scaled,100ROI,0.5,0.16474777
tangent_scaled,100ROI,0.5,0.14211097
correlation,100ROI,1,0.202224691
partial_correlation,100ROI,1,0.184737726
tangent,100ROI,1,0.205991364
partial_correlation_scaled,100ROI,1,0.163919855
tangent_scaled,100ROI,1,0.210944376
correlation,100ROI,2.5,0.262377504
partial_correlation,100ROI,2.5,0.206544342
tangent,100ROI,2.5,0.261834901
partial_correlation_scaled,100ROI,2.5,0.156167637
tangent_scaled,100ROI,2.5,0.236389242
correlation,100ROI,3.5,0.297658575
partial_correlation,100ROI,3.5,0.21952079
tangent,100ROI,3.5,0.290661562
partial_correlation_scaled,100ROI,3.5,0.206855142
tangent_scaled,100ROI,3.5,0.290804786
correlation,100ROI,4.5,0.328238895
partial_correlation,100ROI,4.5,0.223530037
tangent,100ROI,4.5,0.314818047
partial_correlation_scaled,100ROI,4.5,0.241923741
tangent_scaled,100ROI,4.5,0.293862027
correlation,100ROI,5,0.343534041
partial_correlation_scaled,100ROI,5,0.225565968
tangent_scaled,100ROI,5,0.321768855
correlation,100ROI,10,0.421614028
partial_correlation_scaled,100ROI,10,0.252950374
tangent_scaled,100ROI,10,0.373571748
correlation,100ROI,15,0.512319593
partial_correlation_scaled,100ROI,15,0.278036096
tangent_scaled,100ROI,15,0.435177215
correlation,100ROI,20,0.568851078
partial_correlation_scaled,100ROI,20,0.299672063
tangent_scaled,100ROI,20,0.469053249
correlation,100ROI,25,0.631010942
partial_correlation_scaled,100ROI,25,0.323207401
tangent_scaled,100ROI,25,0.510154225
correlation,100ROI,30,0.662876139
partial_correlation_scaled,100ROI,30,0.337566554
tangent_scaled,100ROI,30,0.535958559
correlation,100ROI,35,0.698856933
partial_correlation_scaled,100ROI,35,0.356493338
tangent_scaled,100ROI,35,0.562226894
correlation,100ROI,40,0.717141704
partial_correlation_scaled,100ROI,40,0.368086336
tangent_scaled,100ROI,40,0.578549905
correlation,100ROI,45,0.745824616
partial_correlation_scaled,100ROI,45,0.384606672
tangent_scaled,100ROI,45,0.602832899
correlation,100ROI,50,0.760263497
partial_correlation_scaled,100ROI,50,0.397175927
tangent_scaled,100ROI,50,0.618609815
correlation,200ROI,0.5,0.16593283
partial_correlation,200ROI,0.5,0.168070306
tangent,200ROI,0.5,0.178018293
partial_correlation_scaled,200ROI,0.5,0.153256843
tangent_scaled,200ROI,0.5,0.158678768
correlation,200ROI,1,0.199329525
partial_correlation,200ROI,1,0.184616195
tangent,200ROI,1,0.206889934
partial_correlation_scaled,200ROI,1,0.211655142
tangent_scaled,200ROI,1,0.206454265
correlation,200ROI,2.5,0.265067939
partial_correlation,200ROI,2.5,0.210976693
tangent,200ROI,2.5,0.260647612
partial_correlation_scaled,200ROI,2.5,0.168857417
tangent_scaled,200ROI,2.5,0.218722975
correlation,200ROI,3.5,0.299260281
partial_correlation,200ROI,3.5,0.220221705
tangent,200ROI,3.5,0.285101211
partial_correlation_scaled,200ROI,3.5,0.162418927
tangent_scaled,200ROI,3.5,0.240485727
correlation,200ROI,4.5,0.329779304
partial_correlation,200ROI,4.5,0.22202025
tangent,200ROI,4.5,0.301910772
partial_correlation_scaled,200ROI,4.5,0.180247646
tangent_scaled,200ROI,4.5,0.268308925
correlation,200ROI,5,0.348900757
partial_correlation_scaled,200ROI,5,0.227288918
tangent_scaled,200ROI,5,0.309394515
correlation,200ROI,10,0.424598771
partial_correlation_scaled,200ROI,10,0.232582482
tangent_scaled,200ROI,10,0.344858324
correlation,200ROI,15,0.516728954
partial_correlation_scaled,200ROI,15,0.242981879
