Distance,Roi,Data_length (min),Mean_ICC
correlation,100ROI,0.5,0.203227328
partial_correlation,100ROI,0.5,0.175327623
tangent,100ROI,0.5,0.168017597
partial_correlation_scaled,100ROI,0.5,0.192631461
tangent_scaled,100ROI,0.5,0.143811262
correlation,100ROI,1,0.236741067
partial_correlation,100ROI,1,0.195074933
tangent,100ROI,1,0.191740587
partial_correlation_scaled,100ROI,1,0.173410237
tangent_scaled,100ROI,1,0.203961054
correlation,100ROI,2.5,0.315698267
partial_correlation,100ROI,2.5,0.274431945
tangent,100ROI,2.5,0.291013726
partial_correlation_scaled,100ROI,2.5,0.189375084
tangent_scaled,100ROI,2.5,0.248641033
correlation,100ROI,3.5,0.361901959
partial_correlation,100ROI,3.5,0.326659648
tangent,100ROI,3.5,0.352458002
partial_correlation_scaled,100ROI,3.5,0.283414393
tangent_scaled,100ROI,3.5,0.347155884
correlation,100ROI,4.5,0.403427519
partial_correlation,100ROI,4.5,0.362513662
tangent,100ROI,4.5,0.407203709
partial_correlation_scaled,100ROI,4.5,0.367875146
tangent_scaled,100ROI,4.5,0.379325965
correlation,100ROI,5,0.429598769
partial_correlation_scaled,100ROI,5,0.368290712
tangent_scaled,100ROI,5,0.407860885
correlation,100ROI,10,0.503800859
partial_correlation_scaled,100ROI,10,0.462740263
tangent_scaled,100ROI,10,0.499552017
correlation,100ROI,15,0.598392382
partial_correlation_scaled,100ROI,15,0.529690115
tangent_scaled,100ROI,15,0.596660436
correlation,100ROI,20,0.654445671
partial_correlation_scaled,100ROI,20,0.57400586
tangent_scaled,100ROI,20,0.620391457
correlation,100ROI,25,0.709182293
partial_correlation_scaled,100ROI,25,0.62697645
tangent_scaled,100ROI,25,0.667757362
correlation,100ROI,30,0.729872013
partial_correlation_scaled,100ROI,30,0.645098707
tangent_scaled,100ROI,30,0.699039039
correlation,100ROI,35,0.766386826
partial_correlation_scaled,100ROI,35,0.679208591
tangent_scaled,100ROI,35,0.723647683
correlation,100ROI,40,0.785259564
partial_correlation_scaled,100ROI,40,0.699531462
tangent_scaled,100ROI,40,0.718521109
correlation,100ROI,45,0.812479102
partial_correlation_scaled,100ROI,45,0.71629601
tangent_scaled,100ROI,45,0.755482205
correlation,100ROI,50,0.823659994
partial_correlation_scaled,100ROI,50,0.726676792
tangent_scaled,100ROI,50,0.762298107
correlation,200ROI,0.5,0.195921714
partial_correlation,200ROI,0.5,0.197609024
tangent,200ROI,0.5,0.173322624
partial_correlation_scaled,200ROI,0.5,0.185574968
tangent_scaled,200ROI,0.5,0.166101401
correlation,200ROI,1,0.22524572
partial_correlation,200ROI,1,0.206420807
tangent,200ROI,1,0.208316422
partial_correlation_scaled,200ROI,1,0.246268823
tangent_scaled,200ROI,1,0.212041728
correlation,200ROI,2.5,0.323598886
partial_correlation,200ROI,2.5,0.303316052
tangent,200ROI,2.5,0.284102963
partial_correlation_scaled,200ROI,2.5,0.247949463
tangent_scaled,200ROI,2.5,0.242867548
correlation,200ROI,3.5,0.376012165
partial_correlation,200ROI,3.5,0.350031184
tangent,200ROI,3.5,0.328633974
partial_correlation_scaled,200ROI,3.5,0.252692001
tangent_scaled,200ROI,3.5,0.289971536
correlation,200ROI,4.5,0.415287475
partial_correlation,200ROI,4.5,0.37114178
tangent,200ROI,4.5,0.372910942
partial_correlation_scaled,200ROI,4.5,0.286337574
tangent_scaled,200ROI,4.5,0.344317477
correlation,200ROI,5,0.43795673
partial_correlation_scaled,200ROI,5,0.377632546
tangent_scaled,200ROI,5,0.383195513
correlation,200ROI,10,0.522837516
partial_correlation_scaled,200ROI,10,0.429797441
tangent_scaled,200ROI,10,0.44511874
correlation,200ROI,15,0.618107571
partial_correlation_scaled,200ROI,15,0.484506651
tangent_scaled,200ROI,15,0.496207146
correlation,200ROI,20,0.671913827
partial_correlation_scaled,200ROI,20,0.515819319
tangent_scaled,200ROI,20,0.524959166
correlation,200ROI,25,0.727901806
partial_correlation_scaled,200ROI,25,0.554882244
tangent_scaled,200ROI,25,0.568179103
correlation,200ROI,30,0.748735791
partial_correlation_scaled,200ROI,30,0.570362686
tangent_scaled,200ROI,30,0.597983092
correlation,200ROI,35,0.781051877
partial_correlation_scaled,200ROI,35,0.602133436
tangent_scaled,200ROI,35,0.615098391
correlation,200ROI,40,0.798032605
partial_correlation_scaled,200ROI,40,0.620349114
tangent_scaled,200ROI,40,0.628647548
correlation,200ROI,45,0.820737557
partial_correlation_scaled,200ROI,45,0.643781657
tangent_scaled,200ROI,45,0.647770661
correlation,200ROI,50,0.832776483
partial_correlation_scaled,200ROI,50,0.651762664
tangent_scaled,200ROI,50,0.662458473
correlation,300ROI,0.5,0.201921575
partial_correlation,300ROI,0.5,0.191328003
tangent,300ROI,0.5,0.180485307
partial_correlation_scaled,300ROI,0.5,0.149168311
tangent_scaled,300ROI,0.5,0.167069533
correlation,300ROI,1,0.239330637
partial_correlation,300ROI,1,0.21427278
tangent,300ROI,1,0.212500127
partial_correlation_scaled,300ROI,1,0.201451875
tangent_scaled,300ROI,1,0.222667463
correlation,300ROI,2.5,0.335367197
partial_correlation,300ROI,2.5,0.317486245
tangent,300ROI,2.5,0.281417815
partial_correlation_scaled,300ROI,2.5,0.276368394
tangent_scaled,300ROI,2.5,0.266145825
correlation,300ROI,3.5,0.392088857
partial_correlation,300ROI,3.5,0.352215744
tangent,300ROI,3.5,0.320521715
partial_correlation_scaled,300ROI,3.5,0.313107049
tangent_scaled,300ROI,3.5,0.312588528
correlation,300ROI,4.5,0.426205198
partial_correlation,300ROI,4.5,0.375478223
tangent,300ROI,4.5,0.348401031
partial_correlation_scaled,300ROI,4.5,0.282704949
tangent_scaled,300ROI,4.5,0.297082601
correlation,300ROI,5,0.451952587
partial_correlation_scaled,300ROI,5,0.390550163
tangent_scaled,300ROI,5,0.354524998
correlation,300ROI,10,0.53872284
partial_correlation_scaled,300ROI,10,0.433534523
tangent_scaled,300ROI,10,0.407747711
correlation,300ROI,15,0.63367551
partial_correlation_scaled,300ROI,15,0.469368617
tangent_scaled,300ROI,15,0.451192704
correlation,300ROI,20,0.681680716
partial_correlation_scaled,300ROI,20,0.484526151
tangent_scaled,300ROI,20,0.464273237
correlation,300ROI,25,0.738168163
partial_correlation_scaled,300ROI,25,0.512476088
tangent_scaled,300ROI,25,0.497590361
correlation,300ROI,30,0.761035262
partial_correlation_scaled,300ROI,30,0.52300641
tangent_scaled,300ROI,30,0.515950569
correlation,300ROI,35,0.791143461
partial_correlation_scaled,300ROI,35,0.540115903
tangent_scaled,300ROI,35,0.530968083
correlation,300ROI,40,0.808146009
partial_correlation_scaled,300ROI,40,0.552006539
tangent_scaled,300ROI,40,0.546179661
correlation,300ROI,45,0.829694549
partial_correlation_scaled,300ROI,45,0.565349203
tangent_scaled,300ROI,45,0.570406505
correlation,300ROI,50,0.842068773
partial_correlation_scaled,300ROI,50,0.575256373
tangent_scaled,300ROI,50,0.582169394
correlation,400ROI,0.5,0.204881833
partial_correlation,400ROI,0.5,0.187260846
tangent,400ROI,0.5,0.181306072
partial_correlation_scaled,400ROI,0.5,0.154569143
tangent_scaled,400ROI,0.5,0.143127435
correlation,400ROI,1,0.240571403
partial_correlation,400ROI,1,0.221015906
tangent,400ROI,1,0.21784371
partial_correlation_scaled,400ROI,1,0.177118047
tangent_scaled,400ROI,1,0.205774914
