Distance,Roi,Data_length,Mean_ICC
covariance,100,5min,0.32709522321077833
correlation,100,5min,0.34353407555147414
cosine,100,5min,0.34354907862472706
sqeuclidean,100,5min,0.31065733744351925
minkowski,100,5min,0.31698589482458656
euclidean,100,5min,0.3170300749597755
partial_correlation,100,5min,0.22556599487199597
tangent,100,5min,0.32181220541865346
covariance,100,10min,0.4218058596382654
correlation,100,10min,0.4216042107105476
cosine,100,10min,0.42161407084986813
sqeuclidean,100,10min,0.42161405057764484
minkowski,100,10min,0.42156918453861303
euclidean,100,10min,0.4215767301529946
partial_correlation,100,10min,0.25295035843693725
tangent,100,10min,0.37357174067002236
covariance,100,15min,0.5008439285304355
correlation,100,15min,0.5122016956698401
cosine,100,15min,0.5122901816451564
sqeuclidean,100,15min,0.49718308753691987
minkowski,100,15min,0.499176406156982
euclidean,100,15min,0.4992074000334503
partial_correlation,100,15min,0.2779904423525684
tangent,100,15min,0.43516809404177514
covariance,100,20min,0.568989257835417
correlation,100,20min,0.5688256868230468
cosine,100,20min,0.5688682644798971
sqeuclidean,100,20min,0.5688301217325578
minkowski,100,20min,0.5695240678210916
euclidean,100,20min,0.5695240582876353
partial_correlation,100,20min,0.29967206549095854
tangent,100,20min,0.46907190121346376
covariance,100,25min,0.6253866890114311
correlation,100,25min,0.6310062062092823
cosine,100,25min,0.6308330217260179
sqeuclidean,100,25min,0.6177143652769314
minkowski,100,25min,0.6189552083122636
euclidean,100,25min,0.6189552067549545
partial_correlation,100,25min,0.32321929354431495
tangent,100,25min,0.5101645888520651
covariance,100,30min,0.6627409708637152
correlation,100,30min,0.6628534401888343
cosine,100,30min,0.6628904248557923
sqeuclidean,100,30min,0.6628534225258145
minkowski,100,30min,0.6619282771116364
euclidean,100,30min,0.6619282794601868
partial_correlation,100,30min,0.33756656301093435
tangent,100,30min,0.5359585499103198
covariance,100,35min,0.6947955639880671
correlation,100,35min,0.6988569666564924
cosine,100,35min,0.6987837936285753
sqeuclidean,100,35min,0.6923741087955881
minkowski,100,35min,0.6918046671514276
euclidean,100,35min,0.6918422391318335
partial_correlation,100,35min,0.3564457002962876
tangent,100,35min,0.5622575276605868
covariance,100,40min,0.71724139256366
correlation,100,40min,0.7172272026200646
cosine,100,40min,0.7171954604632268
sqeuclidean,100,40min,0.7172134983767737
minkowski,100,40min,0.716541206427209
euclidean,100,40min,0.7165301103088445
partial_correlation,100,40min,0.368086365619595
tangent,100,40min,0.578446931069373
covariance,100,45min,0.7442693150997246
correlation,100,45min,0.7458246044476958
cosine,100,45min,0.7457909990095375
sqeuclidean,100,45min,0.7373658471487806
minkowski,100,45min,0.7377310896375946
euclidean,100,45min,0.7377524923746588
partial_correlation,100,45min,0.38461069364023365
tangent,100,45min,0.6028162031414706
covariance,100,50min,0.7603661904435961
correlation,100,50min,0.7602634846663451
cosine,100,50min,0.7602634876650722
sqeuclidean,100,50min,0.7602635007110684
minkowski,100,50min,0.7596694508239661
euclidean,100,50min,0.7596807775759433
partial_correlation,100,50min,0.3971887587991997
tangent,100,50min,0.6186098186160337
covariance,200,5min,0.3343752784609236
correlation,200,5min,0.34878275648144885
cosine,200,5min,0.3492037292534372
sqeuclidean,200,5min,0.3154063180319919
minkowski,200,5min,0.3205295780414282
euclidean,200,5min,0.32053629687154284
partial_correlation,200,5min,0.22727547482084937
tangent,200,5min,0.30937909869036717
covariance,200,10min,0.42468725659942325
correlation,200,10min,0.4246293483748144
cosine,200,10min,0.42471641891826556
sqeuclidean,200,10min,0.42461015533106533
minkowski,200,10min,0.42529190029743924
euclidean,200,10min,0.42529906665202954
partial_correlation,200,10min,0.2325406033080553
tangent,200,10min,0.3448580497955857
covariance,200,15min,0.5085196739983963
correlation,200,15min,0.5168011543718712
cosine,200,15min,0.5167628985691517
sqeuclidean,200,15min,0.49981402485569415
minkowski,200,15min,0.5023598365856698
euclidean,200,15min,0.5023841636965519
partial_correlation,200,15min,0.24298974358770925
tangent,200,15min,0.38444334169560385
covariance,200,20min,0.5713338984207762
correlation,200,20min,0.5717509246589144
cosine,200,20min,0.5714190696484467
sqeuclidean,200,20min,0.5717092564263362
minkowski,200,20min,0.5718499482388542
euclidean,200,20min,0.5718576837739663
partial_correlation,200,20min,0.2520399813502017
tangent,200,20min,0.40952122837273625
covariance,200,25min,0.6271991037109673
correlation,200,25min,0.6314835621688842
cosine,200,25min,0.6312887089750162
sqeuclidean,200,25min,0.6179918656177035
minkowski,200,25min,0.6186653156697032
euclidean,200,25min,0.6186584504570484
partial_correlation,200,25min,0.2624828235527316
tangent,200,25min,0.438125227580266
covariance,200,30min,0.6612907231991599
correlation,200,30min,0.6621462877390061
cosine,200,30min,0.6614667351386588
sqeuclidean,200,30min,0.6621558793034588
minkowski,200,30min,0.6609360188160484
euclidean,200,30min,0.660925772281615
partial_correlation,200,30min,0.2713312482175999
tangent,200,30min,0.4563771141503853
covariance,200,35min,0.6930129227694997
correlation,200,35min,0.6969703037077205
cosine,200,35min,0.6959756450393318
sqeuclidean,200,35min,0.6906469118514507
minkowski,200,35min,0.6900024351798771
euclidean,200,35min,0.6899986418133464
partial_correlation,200,35min,0.27992101779247536
tangent,200,35min,0.4771558465658429
covariance,200,40min,0.7157848884973286
correlation,200,40min,0.7165927805009507
cosine,200,40min,0.7158692746038885
sqeuclidean,200,40min,0.7166329040644112
minkowski,200,40min,0.7157877195403859
euclidean,200,40min,0.7157877205635041
partial_correlation,200,40min,0.2865823510427314
tangent,200,40min,0.4903179500834113
covariance,200,45min,0.7422193004207576
correlation,200,45min,0.7447344336573906
cosine,200,45min,0.7439238828277577
sqeuclidean,200,45min,0.7368548166978306
minkowski,200,45min,0.7368204652533096
euclidean,200,45min,0.7367947341111946
partial_correlation,200,45min,0.29618425087826133
tangent,200,45min,0.5085620393490108
covariance,200,50min,0.7591715840968333
correlation,200,50min,0.7600949496972967
cosine,200,50min,0.759323637050511
sqeuclidean,200,50min,0.7600646263773334
minkowski,200,50min,0.7594969430981134
euclidean,200,50min,0.7594936931153092
partial_correlation,200,50min,0.30430958900324173
tangent,200,50min,0.5211076121174024
covariance,300,5min,0.3384683109817912
correlation,300,5min,0.3532460626067403
cosine,300,5min,0.35297947282145137
sqeuclidean,300,5min,0.31972995364828627
minkowski,300,5min,0.32435951039995303
euclidean,300,5min,0.32436715957059115
partial_correlation,300,5min,0.2272523043752265
tangent,300,5min,0.3005339801979546
covariance,300,10min,0.42901034654586867
correlation,300,10min,0.42920590747645754
cosine,300,10min,0.4288689184011421
sqeuclidean,300,10min,0.42925118762337316
minkowski,300,10min,0.42985727811748065
euclidean,300,10min,0.4298702332645493
partial_correlation,300,10min,0.2298050030658538
tangent,300,10min,0.3323187281915965
covariance,300,15min,0.5110853518069713
correlation,300,15min,0.5195641671027537
cosine,300,15min,0.5190844454392319
sqeuclidean,300,15min,0.5030865173271732
minkowski,300,15min,0.505544595706054
euclidean,300,15min,0.5055461530452453
partial_correlation,300,15min,0.23148551211119653
tangent,300,15min,0.3640214275001342
covariance,300,20min,0.5723669591202237
correlation,300,20min,0.5730162620571879
cosine,300,20min,0.5723775923168521
sqeuclidean,300,20min,0.5732214779030333
minkowski,300,20min,0.5730937710126098
euclidean,300,20min,0.5730851274936672
partial_correlation,300,20min,0.23366399163857213
tangent,300,20min,0.37953551310744393
covariance,300,25min,0.6287307760743333
correlation,300,25min,0.633080851044426
cosine,300,25min,0.6325346454433964
sqeuclidean,300,25min,0.6187469589727511
minkowski,300,25min,0.6195315272969071
