Distance,Roi,Data_length,Mean_ICC
covariance,100,5min,0.3445885388390255
correlation,100,5min,0.4321131929236022
cosine,100,5min,0.43191010405165975
sqeuclidean,100,5min,0.4371777399244825
minkowski,100,5min,0.4465569574631367
euclidean,100,5min,0.44655697388029897
partial_correlation,100,5min,0.3576245258608297
tangent,100,5min,0.39386267417607185
covariance,100,10min,0.5154180022968197
correlation,100,10min,0.5143055927153942
cosine,100,10min,0.5143055365568437
sqeuclidean,100,10min,0.5143056350136563
minkowski,100,10min,0.5219647988215529
euclidean,100,10min,0.5219646467545901
partial_correlation,100,10min,0.4497277447373286
tangent,100,10min,0.484924638126277
covariance,100,15min,0.5290556476838028
correlation,100,15min,0.6084073596013878
cosine,100,15min,0.6084289926668199
sqeuclidean,100,15min,0.6196967445700536
minkowski,100,15min,0.6288008968150081
euclidean,100,15min,0.6288008143650142
partial_correlation,100,15min,0.5125853911284032
tangent,100,15min,0.5522119496998154
covariance,100,20min,0.6608933752245272
correlation,100,20min,0.6604863945103753
cosine,100,20min,0.6604865279421376
sqeuclidean,100,20min,0.6604864452882742
minkowski,100,20min,0.6666295945626866
euclidean,100,20min,0.6666295841672157
partial_correlation,100,20min,0.560410461754041
tangent,100,20min,0.5806341890814347
covariance,100,25min,0.6764174758149946
correlation,100,25min,0.7157584776068265
cosine,100,25min,0.7149626529041132
sqeuclidean,100,25min,0.7133080883148952
minkowski,100,25min,0.7213993964185139
euclidean,100,25min,0.7213993775050763
partial_correlation,100,25min,0.6089424030551809
tangent,100,25min,0.6306262153851077
covariance,100,30min,0.7361091751405223
correlation,100,30min,0.7372226133419326
cosine,100,30min,0.737222613600835
sqeuclidean,100,30min,0.7372226096778708
minkowski,100,30min,0.7428267604669371
euclidean,100,30min,0.7428268000110866
partial_correlation,100,30min,0.6315042649686848
tangent,100,30min,0.6579445970338339
covariance,100,35min,0.7455200264475866
correlation,100,35min,0.7700154814479128
cosine,100,35min,0.7700166448789029
sqeuclidean,100,35min,0.7707803152911874
minkowski,100,35min,0.7755320361991281
euclidean,100,35min,0.775531956863107
partial_correlation,100,35min,0.6642136538555908
tangent,100,35min,0.6823217998470087
covariance,100,40min,0.7901367594031277
correlation,100,40min,0.7904643702191257
cosine,100,40min,0.7904643668717714
sqeuclidean,100,40min,0.7904643615585365
minkowski,100,40min,0.7942655179981055
euclidean,100,40min,0.7942655245582828
partial_correlation,100,40min,0.6885407538140165
tangent,100,40min,0.687889568720948
covariance,100,45min,0.8053064939677443
correlation,100,45min,0.8162626586578627
cosine,100,45min,0.816263969798156
sqeuclidean,100,45min,0.812787965387856
minkowski,100,45min,0.8162478971025614
euclidean,100,45min,0.8162479017841326
partial_correlation,100,45min,0.7055980167052004
tangent,100,45min,0.7301076400512297
covariance,100,50min,0.8289617154130414
correlation,100,50min,0.8283302484332515
cosine,100,50min,0.8283302136160129
sqeuclidean,100,50min,0.8283302457045464
minkowski,100,50min,0.8318986026638331
euclidean,100,50min,0.8318985821304569
partial_correlation,100,50min,0.7207638692281741
tangent,100,50min,0.7331963713085305
covariance,200,5min,0.35207871256825085
correlation,200,5min,0.4481386697138166
cosine,200,5min,0.44839226096490753
sqeuclidean,200,5min,0.4522634798907605
minkowski,200,5min,0.46213507415910254
euclidean,200,5min,0.46213506806162785
partial_correlation,200,5min,0.3689532212894188
tangent,200,5min,0.37935343660052145
covariance,200,10min,0.5347778486796572
correlation,200,10min,0.5336673559691933
cosine,200,10min,0.5336672983912051
sqeuclidean,200,10min,0.5336673371730946
minkowski,200,10min,0.5407150462604009
euclidean,200,10min,0.5407150322520989
partial_correlation,200,10min,0.42215059962771223
tangent,200,10min,0.44224528604369256
covariance,200,15min,0.5654554942519369
correlation,200,15min,0.6271702844764961
cosine,200,15min,0.6272979245757937
sqeuclidean,200,15min,0.6353530053919313
minkowski,200,15min,0.6441626388074567
euclidean,200,15min,0.6440890155281873
partial_correlation,200,15min,0.47662294378421616
tangent,200,15min,0.49099661885696483
covariance,200,20min,0.6773701863150452
correlation,200,20min,0.6767711586719777
cosine,200,20min,0.6767711909724836
sqeuclidean,200,20min,0.676758608026037
minkowski,200,20min,0.6824796119630648
euclidean,200,20min,0.6824796424234139
partial_correlation,200,20min,0.5041705583591015
tangent,200,20min,0.5162297155562807
covariance,200,25min,0.6964123824231792
correlation,200,25min,0.7324408570753241
cosine,200,25min,0.7324633381288401
sqeuclidean,200,25min,0.7310334725108979
minkowski,200,25min,0.7360011480588409
euclidean,200,25min,0.7360011536548017
partial_correlation,200,25min,0.5438762391025093
tangent,200,25min,0.5528114385926244
covariance,200,30min,0.7556779050488159
correlation,200,30min,0.7559393667406377
cosine,200,30min,0.7559393807441169
sqeuclidean,200,30min,0.7561930094554744
minkowski,200,30min,0.7602774610935663
euclidean,200,30min,0.76027747419874
partial_correlation,200,30min,0.5610308710898392
tangent,200,30min,0.5831358268150942
covariance,200,35min,0.766606500722931
correlation,200,35min,0.787257834547846
cosine,200,35min,0.7872873967249894
sqeuclidean,200,35min,0.7885561701254246
minkowski,200,35min,0.792095898086441
euclidean,200,35min,0.7920958874270408
partial_correlation,200,35min,0.5896682579728075
tangent,200,35min,0.6009605134416991
covariance,200,40min,0.8041826320525239
correlation,200,40min,0.8040492352929433
cosine,200,40min,0.8040492039624686
sqeuclidean,200,40min,0.8041327020519466
minkowski,200,40min,0.8078436141882431
euclidean,200,40min,0.8078436316715375
partial_correlation,200,40min,0.6106396127679972
tangent,200,40min,0.6170625404530782
covariance,200,45min,0.8140903109050873
correlation,200,45min,0.82697728975984
cosine,200,45min,0.8272497803818945
sqeuclidean,200,45min,0.8247816792225112
minkowski,200,45min,0.8281046996598307
euclidean,200,45min,0.8281047135029131
partial_correlation,200,45min,0.6325836739686928
tangent,200,45min,0.639627110396341
covariance,200,50min,0.8390201074040532
